date,open,high,low,close
2001-11-14,1615.752,1627.972,1614.593,1617.102
2001-11-15,1619.263,1624.813,1612.905,1621.344
2001-11-16,1725.448,1734.673,1644.607,1646.763
2001-11-19,1645.092,1669.987,1644.816,1669.894
2001-11-20,1672.212,1703.74,1670.797,1699.732
2001-11-21,1700.661,1707.927,1690.234,1705.664
2001-11-22,1705.924,1715.926,1700.51,1715.813
2001-11-23,1715.646,1721.968,1704.139,1712.564
2001-11-26,1710.132,1710.132,1695.996,1705.885
2001-11-27,1705.509,1722.62,1704.851,1722.589
2001-11-28,1725.535,1741.665,1725.156,1735.0
2001-11-29,1735.383,1741.737,1728.886,1732.296
2001-11-30,1732.134,1748.0,1731.964,1747.993
2001-12-03,1751.051,1767.438,1750.916,1762.562
2001-12-04,1763.789,1770.357,1754.866,1769.681
2001-12-05,1765.563,1776.019,1745.105,1745.227
2001-12-06,1740.077,1754.768,1737.063,1751.182
2001-12-07,1752.015,1756.474,1743.33,1745.407
2001-12-10,1743.625,1748.968,1730.806,1748.682
2001-12-11,1748.021,1748.975,1726.692,1728.878
2001-12-12,1724.875,1728.834,1714.175,1715.172
2001-12-13,1713.78,1720.55,1687.087,1688.013
2001-12-14,1683.728,1692.905,1673.324,1675.514
2001-12-17,1673.242,1680.838,1662.675,1665.938
2001-12-18,1666.514,1687.769,1660.497,1687.29
2001-12-19,1688.917,1693.181,1671.936,1672.698
2001-12-20,1669.475,1669.48,1628.47,1631.537
2001-12-21,1627.439,1640.793,1624.496,1640.142
2001-12-24,1639.522,1640.143,1601.237,1606.104
2001-12-25,1604.667,1613.602,1593.026,1611.17
2001-12-26,1610.648,1634.33,1605.146,1633.643
2001-12-27,1635.461,1644.409,1625.455,1627.923
2001-12-28,1626.955,1639.848,1619.531,1639.484
2001-12-31,1641.428,1649.8,1638.316,1645.971
2002-01-04,1643.485,1643.5,1608.829,1611.393
2002-01-07,1605.741,1605.741,1584.656,1596.76
2002-01-08,1594.867,1607.722,1582.448,1583.461
2002-01-09,1580.711,1580.72,1552.558,1561.349
2002-01-10,1556.737,1580.007,1523.663,1576.437
2002-01-11,1574.261,1574.268,1535.284,1535.593
2002-01-14,1519.932,1519.932,1484.464,1485.108
2002-01-15,1475.338,1491.703,1458.02,1459.653
2002-01-16,1458.843,1482.178,1439.4,1479.619
2002-01-17,1476.358,1476.378,1416.302,1419.519
2002-01-18,1405.55,1434.966,1376.888,1415.438
2002-01-21,1406.997,1412.212,1362.618,1366.968
2002-01-22,1360.294,1400.76,1348.789,1358.691
2002-01-23,1355.863,1445.696,1346.173,1444.965
2002-01-24,1435.319,1478.54,1400.354,1456.404
2002-01-25,1449.882,1464.902,1442.939,1451.484
2002-01-28,1444.501,1448.603,1357.55,1359.549
2002-01-29,1343.358,1396.108,1339.2,1392.775
2002-01-30,1392.95,1408.05,1381.007,1396.605
2002-01-31,1413.224,1501.33,1413.222,1491.665
2002-02-01,1494.577,1507.639,1480.77,1485.77
2002-02-04,1485.676,1513.671,1476.133,1511.327
2002-02-05,1510.567,1522.324,1502.086,1518.28
2002-02-06,1517.813,1521.558,1484.247,1485.802
2002-02-07,1482.357,1521.027,1481.068,1515.394
2002-02-08,1520.717,1530.126,1506.069,1506.615
2002-02-25,1540.493,1544.574,1521.66,1530.284
2002-02-26,1529.376,1531.717,1507.575,1531.43
2002-02-27,1531.317,1544.921,1524.685,1538.319
2002-02-28,1537.926,1544.394,1521.083,1524.701
