[14:16｜我有上将潘凤｜消息2642] 今天最后国产
[15:04｜我有上将潘凤｜消息2643] 我今天没去投机
[15:04｜我有上将潘凤｜消息2644] 就是怕哈腰压不住
[15:04｜我有上将潘凤｜消息2645] 这样怕明日投机补跌
[15:10｜我有上将潘凤｜消息2646] 所以投机之外去了哪个
空啊
[15:11｜我有上将潘凤｜消息2647] 投机看了两天了
[15:11｜我有上将潘凤｜消息2648] 主要投机有个问题
[15:11｜我有上将潘凤｜消息2649] 下不了重手
[15:11｜我有上将潘凤｜消息2650] 已经习惯了在科技里面重手
[15:11｜我有上将潘凤｜消息2651] 投机下重手太难了
[15:14｜我有上将潘凤｜消息2652] 我模拟盘
[15:38｜我有上将潘凤｜消息2653] 这波除了前天那个抄底没有做好
[15:38｜我有上将潘凤｜消息2654] 其他都没毛病
[15:38｜我有上将潘凤｜消息2655] 那两天我其实都早起盯盘的
[15:39｜我有上将潘凤｜消息2656] 不过后来想想 如果前天抄到底了
[15:39｜我有上将潘凤｜消息2657] 那么上周应该亏麻了
[15:39｜我有上将潘凤｜消息2658] anyway
[15:39｜我有上将潘凤｜消息2659] 可以做到更好的
[15:40｜我有上将潘凤｜消息2660] 前天的强度没有想到 思维上有漏洞 就是多空扎杠杆的
[15:40｜我有上将潘凤｜消息2661] 前天的大反弹是因为把那些大资金杠杆都碾爆了
[15:40｜我有上将潘凤｜消息2662] 所以反弹巨大
[15:41｜我有上将潘凤｜消息2663] 像光迅科技前天的榜那个卖出去五个亿的大佬
[15:41｜我有上将潘凤｜消息2664] 是跌停被平仓了
[15:41｜我有上将潘凤｜消息2665] 然后他爆了之后直接就拉起来了
[15:41｜我有上将潘凤｜消息2666] 这是量化时代一个新玩法
[15:42｜我有上将潘凤｜消息2667] 只有量化加入了才有这么剧烈和极致
[15:42｜我有上将潘凤｜消息2668] 爆仓的意思 就是你的钱都没了
[15:43｜我有上将潘凤｜消息2669] 然后到你的对方口袋里了
[15:43｜我有上将潘凤｜消息2670] 而且是强制性输赢
[15:46｜我有上将潘凤｜消息2671] 我们是判断不出来的
[15:46｜我有上将潘凤｜消息2672] 但是短线买点确实可以看出来
[15:46｜我有上将潘凤｜消息2673] 我前两天一直看盘
[15:46｜我有上将潘凤｜消息2674] 就是感觉那个节点快到了
[15:46｜我有上将潘凤｜消息2675] 但是实际过程当中
[15:47｜我有上将潘凤｜消息2676] 还是有点被震撼到了
[15:47｜我有上将潘凤｜消息2677] 不过有这次经验也就懂了
[15:51｜我有上将潘凤｜消息2678] 下午华虹就是跟随了
[15:51｜我有上将潘凤｜消息2679] 不过华虹确实有了犹豫了
[15:52｜我有上将潘凤｜消息2680] 因为早上看出来是某队
[15:52｜我有上将潘凤｜消息2681] 下午才动手确实太保守了
[15:52｜我有上将潘凤｜消息2682] 所以这比没赚钱也是活该
[15:53｜我有上将潘凤｜消息2683] gjd有两种模式
[15:53｜我有上将潘凤｜消息2684] 一个是托而不举
[15:53｜我有上将潘凤｜消息2685] 一个是高举高打
[15:53｜我有上将潘凤｜消息2686] 昨天那个就是明显拖而不举
[15:54｜我有上将潘凤｜消息2687] 然后我前天尾盘补华虹公司仓位
[15:54｜我有上将潘凤｜消息2688] 就是想看看
[15:54｜我有上将潘凤｜消息2689] 他到底要怎么样
[15:54｜我有上将潘凤｜消息2690] gjd第一次抄底的和第二次抄底
[15:54｜我有上将潘凤｜消息2691] 我都没动手
[15:54｜我有上将潘凤｜消息2692] 是因为
[15:55｜我有上将潘凤｜消息2693] 我感觉他们救不动
[15:55｜我有上将潘凤｜消息2694] 或者救的人不合理
[15:55｜我有上将潘凤｜消息2695] 实际上也看出
[15:55｜我有上将潘凤｜消息2696] 前天第三次救
[15:55｜我有上将潘凤｜消息2697] 也就是把量化触发了
[15:55｜我有上将潘凤｜消息2698] 然后一路拉到尾盘
[15:55｜我有上将潘凤｜消息2699] 第二天他们自己都想跑
[15:55｜我有上将潘凤｜消息2700] 对
[15:55｜我有上将潘凤｜消息2701] 我感觉他们自己心里也清楚
[15:56｜我有上将潘凤｜消息2702] 这边救不动
[15:56｜我有上将潘凤｜消息2703] 买太多把自己套进去
[15:56｜我有上将潘凤｜消息2704] 我其实觉得
[15:56｜我有上将潘凤｜消息2705] 如果没有长鑫科技
[15:56｜我有上将潘凤｜消息2706] 这边可以自由触底
[15:56｜我有上将潘凤｜消息2707] 是最佳选择
[15:56｜我有上将潘凤｜消息2708] 因为长鑫科技这变量
[15:56｜我有上将潘凤｜消息2709] 导致交易反而复杂
[15:57｜我有上将潘凤｜消息2710] 其实有没有长鑫科技上市 这边就是ai的增速不在了
[15:57｜我有上将潘凤｜消息2711] 就是要跌的
[15:57｜我有上将潘凤｜消息2712] 所以其实还是这个认知是最重要的
[15:57｜我有上将潘凤｜消息2713] 其余的交易
[15:57｜我有上将潘凤｜消息2714] 都是细节和战术了
[15:58｜我有上将潘凤｜消息2715] 包括昨天我说的科技转投机那也只是小的技巧
[15:59｜我有上将潘凤｜消息2716] 等民营企业发射成功吧
[15:59｜我有上将潘凤｜消息2717] 不然说啥都没用
[16:12｜我有上将潘凤｜消息2718] 然后自己不听 就要买
[16:13｜我有上将潘凤｜消息2719] vigoss不敢买的=超越vigoss的机会
[16:13｜我有上将潘凤｜消息2720] vigoss不敢买的=我比vigoss能多赚点
[18:52｜我有上将潘凤｜消息2721] 这个话说得很好
[18:52｜我有上将潘凤｜消息2722] 从这个话当中你们就能看出你们的对手盘多强大
[23:56｜5280｜消息2723] @所有人?机器人也是我和你们喷的最多的行业之一
[23:56｜5280｜消息2724] 说谷歌利好硬件的
[23:56｜5280｜消息2725] 硬件也跳了
[23:56｜5280｜消息2726] 明天可以迟点起床了
