code,name,industry,match
000510,新金路,氯碱,local_extdata
000559,万向钱潮,底盘与发动机系统,local_extdata
000657,中钨高新,钨钼,local_extdata
000688,国城矿业,铅锌,local_extdata
000962,东方钽业,其他金属,local_extdata
001203,大中矿业,铁矿石,local_extdata
001267,汇绿生态,网络接配及塔设,local_extdata
001896,豫能控股,火力发电,local_extdata
002028,思源电气,输变电设备,local_extdata
002149,西部材料,钛,local_extdata
002169,智光电气,电网自动化,local_extdata
002240,盛新锂能,锂,local_extdata
002290,禾盛新材,家电零部件,local_extdata
002353,杰瑞股份,能源及重型设备,local_extdata
002378,章源钨业,钨钼,local_extdata
002471,中超控股,线缆部件及其他,local_extdata
002545,东方铁塔,钾肥,local_extdata
002571,德力股份,其他家居,local_extdata
002636,金安国纪,PCB,local_extdata
002772,众兴菌业,食用菌,local_extdata
002796,世嘉科技,其他通信设备,local_extdata
002842,翔鹭钨业,钨钼,local_extdata
002853,皮阿诺,家具,local_extdata
002969,嘉美包装,金属包装,local_extdata
300164,通源石油,油气工程,local_extdata
300394,天孚通信,网络接配及塔设,local_extdata
300461,田中精机,工业控制设备,local_extdata
300604,长川科技,半导体设备,local_extdata
300658,延江股份,其他纺织,local_extdata
300749,顶固集创,家具,local_extdata
300819,聚杰微纤,其他纺织,local_extdata
300842,帝科股份,光伏辅材,local_extdata
300857,协创数据,消费电子组件,local_extdata
301057,汇隆新材,涤纶,local_extdata
301093,华兰股份,医疗耗材,local_extdata
301200,大族数控,其他专用设备,local_extdata
301338,凯格精机,其他专用设备,local_extdata
301377,鼎泰高科,金属制品,local_extdata
301468,博盈特焊,其他专用设备,local_extdata
301486,致尚科技,消费电子组件,local_extdata
301526,国际复材,玻纤制造,local_extdata
600105,永鼎股份,光纤光缆,local_extdata
600397,江钨装备,能源及重型设备,local_extdata
600549,厦门钨业,钨钼,local_extdata
600869,远东股份,线缆部件及其他,local_extdata
601126,四方股份,电网自动化,local_extdata
601208,东材科技,塑料薄膜,local_extdata
601231,环旭电子,消费电子组件,local_extdata
601869,长飞光纤,光纤光缆,local_extdata
603061,金海通,半导体设备,local_extdata
603067,振华股份,无机盐,local_extdata
603163,圣晖集成,其他专业工程,local_extdata
603186,华正新材,PCB,local_extdata
603256,宏和科技,玻纤制造,local_extdata
603308,应流股份,机械基础件,local_extdata
603601,再升科技,玻纤制造,local_extdata
603626,科森科技,消费电子组件,local_extdata
603929,亚翔集成,其他专业工程,local_extdata
605060,联德股份,机械基础件,local_extdata
605289,罗曼股份,其他专业工程,local_extdata
605318,法狮龙,其他建材,local_extdata
605376,博迁新材,能源金属,local_extdata
688011,新光光电,军工电子,local_extdata
688020,方邦股份,PCB,local_extdata
688028,沃尔德,机械基础件,local_extdata
688031,星环科技,行业应用软件,local_extdata
688125,安达智能,其他专用设备,local_extdata
688167,炬光科技,光学元件,local_extdata
688257,新锐股份,金属制品,local_extdata
688308,欧科亿,金属制品,local_extdata
688335,复洁科技,环保设备,local_extdata
688433,华曙高科,其他专用设备,local_extdata
688480,赛恩斯,水治理,local_extdata
688485,九州一轨,轨交设备,local_extdata
688510,航亚科技,航空装备,local_extdata
688521,芯原股份,集成电路设计,local_extdata
688625,呈和科技,塑料助剂,local_extdata
688627,精智达,其他专用设备,local_extdata
688661,和林微纳,消费电子组件,local_extdata
