code,name,industry,match
000608,阳光股份,商业地产,local_extdata
000811,冰轮环境,制冷空调设备,local_extdata
001389,广合科技,PCB,local_extdata
002156,通富微电,半导体封测,local_extdata
002384,东山精密,PCB,local_extdata
002463,沪电股份,PCB,local_extdata
002536,飞龙股份,底盘与发动机系统,local_extdata
002718,友邦吊顶,其他建材,local_extdata
002768,国恩股份,改性塑料,local_extdata
002938,鹏鼎控股,PCB,local_extdata
003004,声迅股份,安防设备,local_extdata
300209,行云科技,跨境电商,local_extdata
300502,新易盛,网络接配及塔设,local_extdata
300567,精测电子,仪器仪表,local_extdata
301603,乔锋智能,机床制造,local_extdata
600246,万通发展,住宅开发,local_extdata
603580,艾艾精工,其他塑料制品,local_extdata
603757,大元泵业,机械基础件,local_extdata
603800,洪田股份,能源及重型设备,local_extdata
603823,百合花,涂料油墨,local_extdata
688048,长光华芯,半导体制造,local_extdata
688347,华虹宏力,半导体制造,local_extdata
688498,源杰科技,集成电路设计,local_extdata
688702,盛科通信,集成电路设计,local_extdata
