code,name,industry,match
000158,常山北明,行业应用软件,local_extdata
000595,新能股份,风力发电,local_extdata
002693,双成药业,其他生物制药,local_extdata
300085,银之杰,行业应用软件,local_extdata
300209,行云科技,跨境电商,local_extdata
300779,惠城环保,固废治理,local_extdata
301036,双乐股份,涂料油墨,local_extdata
301259,艾布鲁,水治理,local_extdata
600007,中国国贸,商业地产,local_extdata
600216,浙江医药,原料药,local_extdata
600830,香溢融通,租赁,local_extdata
601898,中煤能源,动力煤,local_extdata
603007,顺景科技,园林工程,local_extdata
603360,百傲化学,农药,local_extdata
603988,中电电机,电机制造,local_extdata
688090,瑞松科技,机器人,local_extdata
688399,硕世生物,诊断试剂,local_extdata
