code,name,industry,match
002080,中材科技,玻纤制造,local_extdata
002173,创新医疗,医院,local_extdata
002289,宇顺电子,面板,local_extdata
002364,中恒电气,其他发电设备,local_extdata
002402,和而泰,其他电子,local_extdata
002558,巨人网络,游戏,local_extdata
002602,世纪华通,游戏,local_extdata
002837,英维克,其他专用设备,local_extdata
300004,南风股份,其他通用设备,local_extdata
300308,中际旭创,网络接配及塔设,local_extdata
300329,海伦钢琴,娱乐用品,local_extdata
300450,先导智能,锂电设备,local_extdata
300469,信息发展,行业应用软件,local_extdata
300476,胜宏科技,PCB,local_extdata
300478,杭州高新,改性塑料,local_extdata
300502,新易盛,网络接配及塔设,local_extdata
300528,幸福蓝海,发行院线,local_extdata
300539,横河精密,其他塑料制品,local_extdata
300703,创源股份,文化用品,local_extdata
300748,金力永磁,磁性材料,local_extdata
300756,金马游乐,其他专用设备,local_extdata
300803,指南针,行业应用软件,local_extdata
300911,亿田智能,厨房电器,local_extdata
301052,果麦文化,大众出版,local_extdata
301076,新瀚新材,其他化学制品,local_extdata
301165,锐捷网络,网络接配及塔设,local_extdata
301196,唯科科技,其他专用设备,local_extdata
301200,大族数控,其他专用设备,local_extdata
301217,铜冠铜箔,铜,local_extdata
301316,慧博云通,行业应用软件,local_extdata
301345,涛涛车业,其他交通设备,local_extdata
301377,鼎泰高科,金属制品,local_extdata
301448,开创电气,其他通用设备,local_extdata
301488,豪恩汽电,汽车电子电气系统,local_extdata
301489,思泉新材,电子化学品,local_extdata
600113,浙江东日,商业物业经营,local_extdata
600580,卧龙电驱,电机制造,local_extdata
600601,方正科技,PCB,local_extdata
600629,华建集团,工程咨询服务,local_extdata
600673,东阳光,综合类,local_extdata
601869,长飞光纤,光纤光缆,local_extdata
601929,吉视传媒,广播电视,local_extdata
603083,剑桥科技,通信终端及配件,local_extdata
603119,浙江荣泰,其他汽车零部件,local_extdata
603151,邦基科技,畜禽饲料,local_extdata
603200,上海洗霸,水治理,local_extdata
603226,菲林格尔,家具,local_extdata
603256,宏和科技,玻纤制造,local_extdata
603389,亚振家居,家具,local_extdata
603516,淳中科技,其他IT设备,local_extdata
603800,洪田股份,能源及重型设备,local_extdata
605298,必得科技,轨交设备,local_extdata
605580,恒盛能源,热力服务,local_extdata
688013,天臣医疗,医疗耗材,local_extdata
688025,杰普特,激光设备,local_extdata
688110,东芯股份,集成电路设计,local_extdata
688141,杰华特,集成电路设计,local_extdata
688167,炬光科技,光学元件,local_extdata
688171,纬德信息,行业应用软件,local_extdata
688183,生益电子,PCB,local_extdata
688195,腾景科技,光学元件,local_extdata
688215,瑞晟智能,其他专用设备,local_extdata
688228,开普云,行业应用软件,local_extdata
688256,寒武纪,集成电路设计,local_extdata
688331,荣昌生物,抗体,local_extdata
688386,泛亚微透,塑料薄膜,local_extdata
688498,源杰科技,集成电路设计,local_extdata
688499,利元亨,锂电设备,local_extdata
688519,南亚新材,PCB,local_extdata
688521,芯原股份,集成电路设计,local_extdata
688577,浙海德曼,机床制造,local_extdata
688585,上纬新材,合成树脂,local_extdata
688702,盛科通信,集成电路设计,local_extdata
688778,厦钨新能,电池化学品,local_extdata
688800,瑞可达,其他电子,local_extdata
920247,华密新材,橡胶制品,local_extdata
920252,天宏锂电,锂电池,local_extdata
920438,戈碧迦,光学元件,local_extdata
920914,远航精密,锂电池,local_extdata
