code,name,industry,match
000429,粤高速Ａ,高速公路,local_extdata
001298,好上好,其他电子,local_extdata
001872,招商港口,港口,local_extdata
001965,招商公路,高速公路,local_extdata
002273,水晶光电,光学元件,local_extdata
002700,万憬能源,燃气,local_extdata
002755,奥赛康,化学制剂,local_extdata
002827,高争民爆,民爆制品,local_extdata
003001,中岩大地,其他专业工程,local_extdata
003816,中国广核,核力发电,local_extdata
300100,双林股份,车身附件及饰件,local_extdata
300184,力源信息,其他电子,local_extdata
300433,蓝思科技,消费电子组件,local_extdata
600012,皖通高速,高速公路,local_extdata
600025,华能水电,水力发电,local_extdata
600216,浙江医药,原料药,local_extdata
600299,安迪苏,食品助剂,local_extdata
600312,平高电气,输变电设备,local_extdata
600326,西藏天路,水泥制造,local_extdata
600350,山东高速,高速公路,local_extdata
600377,宁沪高速,高速公路,local_extdata
600418,江淮汽车,商用载货车,local_extdata
600489,中金黄金,黄金,local_extdata
600611,大众交通,公共交通,local_extdata
600900,长江电力,水力发电,local_extdata
601000,唐山港,港口,local_extdata
601077,渝农商行,农商行,local_extdata
601229,上海银行,城商行,local_extdata
601288,农业银行,国有大型银行,local_extdata
601298,青岛港,港口,local_extdata
601328,交通银行,国有大型银行,local_extdata
601398,工商银行,国有大型银行,local_extdata
601921,浙版传媒,大众出版,local_extdata
601939,建设银行,国有大型银行,local_extdata
601985,中国核电,核力发电,local_extdata
601988,中国银行,国有大型银行,local_extdata
603360,百傲化学,农药,local_extdata
603393,新天然气,油气开采,local_extdata
605368,蓝天燃气,燃气,local_extdata
688090,瑞松科技,机器人,local_extdata
688187,时代电气,轨交设备,local_extdata
688256,寒武纪,集成电路设计,local_extdata
688399,硕世生物,诊断试剂,local_extdata
688500,慧辰股份,行业应用软件,local_extdata
688617,惠泰医疗,医疗耗材,local_extdata
689009,九号公司,其他交通设备,local_extdata
920821,则成电子,PCB,local_extdata
