code,name,industry,match
000158,常山北明,行业应用软件,local_extdata
002693,双成药业,其他生物制药,local_extdata
002827,高争民爆,民爆制品,local_extdata
300779,惠城环保,固废治理,local_extdata
300979,华利集团,纺织制造,local_extdata
301259,艾布鲁,水治理,local_extdata
600007,中国国贸,商业地产,local_extdata
600198,大唐电信,系统设备,local_extdata
600377,宁沪高速,高速公路,local_extdata
600418,江淮汽车,商用载货车,local_extdata
600550,保变电气,输变电设备,local_extdata
601898,中煤能源,动力煤,local_extdata
603007,顺景科技,园林工程,local_extdata
688090,瑞松科技,机器人,local_extdata
688399,硕世生物,诊断试剂,local_extdata
