code,name,industry,match
000811,冰轮环境,制冷空调设备,local_extdata
000988,华工科技,激光设备,local_extdata
001309,德明利,集成电路设计,local_extdata
001331,胜通能源,燃气,local_extdata
001359,平安电工,非金属材料,local_extdata
002281,光迅科技,网络接配及塔设,local_extdata
002353,杰瑞股份,能源及重型设备,local_extdata
002364,中恒电气,其他发电设备,local_extdata
002384,东山精密,PCB,local_extdata
002463,沪电股份,PCB,local_extdata
002536,飞龙股份,底盘与发动机系统,local_extdata
002674,兴业科技,辅料,local_extdata
002718,友邦吊顶,其他建材,local_extdata
002916,深南电路,PCB,local_extdata
003004,声迅股份,安防设备,local_extdata
300054,鼎龙股份,电子化学品,local_extdata
300502,新易盛,网络接配及塔设,local_extdata
300604,长川科技,半导体设备,local_extdata
300666,江丰电子,半导体材料,local_extdata
300821,东岳硅材,有机硅,local_extdata
300843,胜蓝股份,消费电子组件,local_extdata
301018,申菱环境,制冷空调设备,local_extdata
301045,天禄科技,光学元件,local_extdata
301307,美利信,其他通信设备,local_extdata
301321,翰博高新,面板,local_extdata
301369,联动科技,半导体设备,local_extdata
600172,黄河旋风,磨具磨料,local_extdata
600206,有研新材,半导体材料,local_extdata
600641,先导基电,半导体材料,local_extdata
603061,金海通,半导体设备,local_extdata
603608,天创时尚,鞋帽及其他,local_extdata
603823,百合花,涂料油墨,local_extdata
688008,澜起科技,集成电路设计,local_extdata
688012,中微公司,半导体设备,local_extdata
688025,杰普特,激光设备,local_extdata
688037,芯源微,半导体设备,local_extdata
688082,盛美上海,半导体设备,local_extdata
688120,华海清科,半导体设备,local_extdata
688141,杰华特,集成电路设计,local_extdata
688146,中船特气,电子化学品,local_extdata
688147,微导纳米,光伏加工设备,local_extdata
688172,燕东微,功率半导体,local_extdata
688200,华峰测控,半导体设备,local_extdata
688249,晶合集成,半导体制造,local_extdata
688328,深科达,其他专用设备,local_extdata
688347,华虹宏力,半导体制造,local_extdata
688359,三孚新科,电子化学品,local_extdata
688361,中科飞测,半导体设备,local_extdata
688362,甬矽电子,半导体封测,local_extdata
688368,晶丰明源,集成电路设计,local_extdata
688378,奥来德,其他专用设备,local_extdata
688392,骄成超声,其他专用设备,local_extdata
688403,汇成股份,半导体封测,local_extdata
688409,富创精密,半导体设备,local_extdata
688416,恒烁股份,集成电路设计,local_extdata
688432,有研硅,半导体材料,local_extdata
688498,源杰科技,集成电路设计,local_extdata
688521,芯原股份,集成电路设计,local_extdata
688531,日联科技,其他专用设备,local_extdata
688548,广钢气体,电子化学品,local_extdata
688610,埃科光电,仪器仪表,local_extdata
688627,精智达,其他专用设备,local_extdata
688629,华丰科技,军工电子,local_extdata
688630,芯碁微装,其他专用设备,local_extdata
688652,京仪装备,半导体设备,local_extdata
688661,和林微纳,消费电子组件,local_extdata
688702,盛科通信,集成电路设计,local_extdata
688720,艾森股份,半导体材料,local_extdata
688766,普冉股份,集成电路设计,local_extdata
920438,戈碧迦,光学元件,local_extdata
920725,惠丰钻石,非金属材料,local_extdata
