code,name,industry,match
000158,常山北明,行业应用软件,local_extdata
000595,新能股份,风力发电,local_extdata
001298,好上好,其他电子,local_extdata
002423,中粮资本,金融控股,local_extdata
002457,青龙管业,管材,local_extdata
002625,光启技术,航空装备,local_extdata
002653,海思科,化学制剂,local_extdata
002827,高争民爆,民爆制品,local_extdata
002989,中天精装,装修装饰,local_extdata
300046,台基股份,功率半导体,local_extdata
300047,天源迪科,行业应用软件,local_extdata
300077,国民技术,集成电路设计,local_extdata
300180,华峰超纤,合成革,local_extdata
300184,力源信息,其他电子,local_extdata
300293,蓝英装备,其他专用设备,local_extdata
300333,兆日科技,其他IT设备,local_extdata
300337,银邦股份,铝,local_extdata
300339,润和软件,行业应用软件,local_extdata
300468,四方精创,行业应用软件,local_extdata
300493,润欣科技,其他电子,local_extdata
300502,新易盛,网络接配及塔设,local_extdata
300563,神宇股份,光纤光缆,local_extdata
300598,诚迈科技,行业应用软件,local_extdata
300623,捷捷微电,功率半导体,local_extdata
300663,科蓝软件,行业应用软件,local_extdata
300709,精研科技,消费电子组件,local_extdata
300757,罗博特科,工业控制设备,local_extdata
300779,惠城环保,固废治理,local_extdata
300863,卡倍亿,汽车电子电气系统,local_extdata
300925,法本信息,云软件服务,local_extdata
301036,双乐股份,涂料油墨,local_extdata
301236,软通动力,行业应用软件,local_extdata
301259,艾布鲁,水治理,local_extdata
600418,江淮汽车,商用载货车,local_extdata
603009,北特科技,底盘与发动机系统,local_extdata
603360,百傲化学,农药,local_extdata
688256,寒武纪,集成电路设计,local_extdata
688312,燕麦科技,其他专用设备,local_extdata
688608,恒玄科技,集成电路设计,local_extdata
688631,莱斯信息,行业应用软件,local_extdata
920163,方大新材,其他包装,local_extdata
920370,新安洁,固废治理,local_extdata
920523,德瑞锂电,锂电池,local_extdata
920799,艾融软件,行业应用软件,local_extdata
920876,慧为智能,消费电子组件,local_extdata
920953,国子软件,行业应用软件,local_extdata
920971,天马新材,非金属材料,local_extdata
